University,Rank,WebPageLink1.1,WebPageLink2.1,WebPageLink3.1,Admissions1.1,Admissions2.1,Admissions3.1,Scrape Date,Start Time,End Time,,Notes,WebPageLink1.2,WebPageLink2.2,WebPageLink3.2,Admissions1.2,Admissions2.2,Admissions3.2,Scrape Date,Start Time,End Time ,,Notes,Jordan Notes
Louisiana State University and Agricultural & Mechanical College,not on list,https://www.lsu.edu/diversity/about_us/mission_vision.php,,,,,,2021-05-06,3:01,3:07,0:06,,https://www.lsu.edu/diversity/about_us/mission_vision.php,,,,,,2021-04-21,4:11,4:14,0:03,,
University of California-San Diego,not on list,https://ucsd.edu/campus-life/diversity/index.html,,,,,,2021-05-06,3:28,3:34,0:06,image,https://www.sandiego.edu/inclusion/diversity-statement/,,,,,,2021-04-21,4:21,4:22,0:01,university of san diego not university of california-san diego,these statements are from different schools… second seems to be wrong… university of san diego
Saint Louis University,103,https://www.slu.edu/about/key-facts/diversity/index.php,,,,,,2021-05-06,6:02,6:04,0:02,image,https://www.slu.edu/about/key-facts/diversity/index.php,,,,,,2021-04-21,4:34,4:36,0:02,,
SUNY College of Environmental Science and Forestry,118,https://www.esf.edu/ide/,,,,,,2021-05-06,6:04,6:06,0:02,image,https://www.esf.edu/ide/,,,,,,2021-04-21,4:43,4:47,0:04,,
Stony Brook University,88,https://www.stonybrook.edu/diversity/,,,,,,2021-05-06,6:06,6:12,0:06,"video, couldn’t get volume but has captions",https://www.stonybrook.edu/commcms/diversity/mission.php,,,,,,2021-04-21,4:47,4:49,0:02,,
George Washington University,66,https://diversity.gwu.edu/vision-and-mission,,,,,,2021-05-06,4:00,4:05,0:05,,https://diversity.gwu.edu/gw-statement-diversity-and-inclusion-0,,,,,,2021-04-21,12:21,12:23,0:02,,
University of New Mexico-Main Campus,187,https://diverse.unm.edu/about/mission.html,,,,,,2021-05-06,4:05,4:06,0:01,,https://diverse.unm.edu/,,,,,,2021-04-21,12:23,12:27,0:04,,"For yellow-highlighted, there's no real relevant text on page"
Duke University ,12,https://oie.duke.edu/mission,,,,,,2021-05-06,4:06,4:09,0:03,,https://provost.duke.edu/initiatives/commitment-to-diversity-and-inclusion,,,,,,2021-04-21,12:31,12:32,0:01,,
University of La Verne,not on list,https://laverne.edu/diversity/,,,,,,2021-05-06,4:09,4:10,0:01,,https://laverne.edu/diversity/,,,,,,2021-04-21,12:32,12:34,0:02,,
Loyola University Chicago ,112,https://www.luc.edu/diversityandinclusion/about/diversitystatement/,,,,,,2021-05-06,4:10,4:11,0:01,,https://www.luc.edu/diversityandinclusion/about/diversitystatement/,,,,,,2021-04-21,12:34,12:36,0:02,,
University of California-Santa Barbara ,,https://diversity.ucsb.edu/,https://regents.universityofcalifornia.edu/governance/policies/4400.html,,,,,2021-05-06,4:11,4:13,0:02,second one they said they abide by University of california's statement,https://diversity.ucsb.edu/,,,,,,2021-04-21,12:36,12:38,0:02,,
Clark University ,103,https://www.clarku.edu/who-we-are/diversity-and-inclusion/,,,,,,2021-05-06,4:28,4:32,0:04,,https://www.clarku.edu/offices/diversity-inclusion/,,,,,,2021-04-21,1:05,1:08,0:03,,
Widener University ,206,https://www.widener.edu/student-experience/vibrant-community/diversity-inclusion,,,,,,2021-05-06,4:32,4:35,0:03,,https://www.widener.edu/student-experience/vibrant-community/diversity-inclusion,,,,,,2021-04-21,1:08,1:11,0:03,,
