,School Name,UniversityLink1,text,failed_scrape
0,Princeton University,https://inclusive.princeton.edu/about/our-commitment-diversity,OurCommitmenttoDiversityInclusivePrinceton,True
1,Harvard University,https://college.harvard.edu/life-at-harvard/diversity-inclusion,DiversityInclusionHarvardSkiptomaincontentCloseSearchandUsefulLinksSearchthesiteSearchSearchLeavethisfieldblankSearchSuggestionsOurCommitmentHarvardscommitmenttodiversityinallformsisrootedinourfundamentalbeliefthatengagingwithunfamiliarideasperspectivesculturesandpeoplecreatestheconditionsfordramaticandmeaningfulgrowthWemustcontinuetofindwaystosupporteachotherandworktobuildacommunityofcareandsolidaritytowardschangingthecourseforourfutureMessagesfromtheDeanViewallmessagesYesterdaysVerdictandthePathAheadApril21st2021HatehasnoplacehereMarch18th2021MakingaBetterWorldTogetherMay31st2020ViewallmessagesCampusRecruitmentProgramsForhighschoolstudentsinterestedinapplyingtoHarvardwehaveseveralprogramstohelpyoulearnaboutourdiversecampuscommunityLearnmoreaboutRecruitmentProgramsResourcesHarvardhasresourcesthateducatesmembersoftheHarvardcommunityaboutequityandinclusionofferssupportforthosewhoareexperiencingissuesrelatedtoidentityandbelongingandhostseventsandprogramsthatfosterdialogueandengagementarounddiversityResourcesAccessibleEducationOfficeTheAccessibleEducationOfficehelpstoensureHarvardscampusandbuildingsarefullyaccessibleforstudentsstaffandfacultymemberswithdisabilitiesTheHarvardFoundationforInterculturalandRaceRelationsTheHarvardFoundationseekstoincreaseopportunitiesforindividualsofallracesandculturestoparticipatefullyinthelifeoftheCollegeThrougheventsactivitiesandotherprogrammingwepromoteinterracialandinterculturalawarenessandunderstandingBGLTQStudentLifeTheHarvardCollegeOfficeofBGLTQStudentLifeprovidessupportresourcesandleadershipdevelopmentforbisexualgaylesbiantransgenderqueerandquestioningstudentsWeseektocreateasafeandinclusivespaceforindividualsofallgenderandsexualidentitiesDiversityPeerEducatorsDiversityPeerEducatorsaretrainedstudentfacilitatorswhousetheirpassionforinclusionintersectionalityandsocialjusticetohelpcreateabetterHarvardcommunityforeveryoneHarvardCollegeWomensCenterTheHarvardCollegeWomensCenterfacilitatescommunitybuildingsponsorseventsandhostsworkshopsthatcontributetotheadvancementofwomenLowIncomeandFirstGenerationStudentsUndergraduateAdvisingResourcesSupportareavailabletohelpfirstgenerationstudentsnavigatetheprocessofattendingcollegebyconnectingthemwithpeersandwithmentorswhohaveblazedthetrailalreadyTitleIXTheTitleIXOfficecontributestoamoreinclusiveHarvardbyensuringthatnooneexperiencesdiscriminationorharassmentonthebasisofsexorgenderidentitySexualAssaultPreventionResponseTheOfficeofSexualAssaultPreventionResponsecultivatesahealthiersaferenvironmentforallourstudentsstaffandfacultythroughtheintersectionalpromotionofgenderequityTheyprovidecompassionatesupporttoindividualssignificantothersandfamilieswhohaveexperiencedharmoroppressionPresidentialTaskForceonInclusionandBelongingEstablishedin2016thistaskforcewaschargedwithreviewingHarvardsprogresstowardcreatinganinclusiveenvironmentLearnmoreaboutthePresidentialTaskForceonInclusionandBelongingRelatedTopicsDiversityandAccessWhenstudentscometoHarvardtheybringtheirtalentcuriosityandintelligenceTheyalsobringtheirperspectiveontheworldTraditionsFromtheHarvardYalefootballgametoHousingDayexploreHarvardtraditionsLeadershipServiceMembersofourcommunityupholdacommitmenttomakingtheworldabetterplaceforallLearnhowtomakeanimpactthroughleadershipandservice,False
2,Massachusetts Institute of Technology,https://diversity.mit.edu/about/about-institute-community-and-equity-office,AbouttheInstituteCommunityandEquityOfficeInstituteCommunityEquityOfficeTheInstituteCommunityandEquityOfficerICEOservesasathoughtleaderonthesubjectsofcommunityequityinclusionanddiversityafocalpointfororganizingMITsrelatedactivitiesandconversationsandahandsonpractitionerwhodisseminatesbestpracticesandinspirestheawarenessandenthusiasmtohelpthemflourishTheacronymICEOcanrefertoeithertheOfficewithstafflistedbelowortoInstituteCommunityandEquityOfficerJohnDozierDrawingonthestrengthandenergyofourextraordinarydiversityofexperiencesandbackgroundstheICEOshallleadMITtomakepracticalprogressonadailybasistowardcultivatingacaringcommunityfocusedonMITssharedvaluesofexcellencecommunityequitybelongingopennessintegrityandmutualrespectThisworkshallbecarriedoutinwaysthatenhancethelifeandworkofMITfacultystudentspostdocsstaffandtheMITcommunitywiththeaimofmakingeveryoneherefeelthatMITishomeTheICEOreportstotheProvostStaffJohnDozierInstituteCommunityEquityOfficerjdoziermitedu6172538418Bldg4205MaryanneKirkbrideDeputyInstituteCommunityEquityOfficerkirkmitedu6172535240BldgE23389ABeatrizCantadaDirectorofEngagementforDiversityandInclusionbcantadamitedu6172580549Bldg4205RachelOrnitzAdministrativeAssistantrornitzmitedu6177152066Bldg4205TweetsbyMITDiversity,False
3,Yale University,https://belong.yale.edu/we-are-yale-university,AboutBelongingatYaleBelongingatYale,True
4,Stanford University,https://diversityworks.stanford.edu/,DiversityWorks,True
5,University of Chicago,https://diversityandinclusion.uchicago.edu/,UChicagoDiversityInitiativeTheUniversityofChicagoEmpoweringParticipationWeinviteallmembersofourcommunitytoparticipateinfosteringadiverseandinclusiveenvironmentBuildingCommunityWestrivetocreateanenvironmentwhereallmembersfeelvaluedrespectedandheardLastingChangeWearebuildingtheinfrastructureforongoingchangeacrosstheinstitutionPreviousNextDiversityInclusionDiversityiscriticaltotheprocessofdiscoveryHeredifferentbackgroundsviewpointsandperspectivesarenotonlysoughtafterandencouragedtheyarethebuildingblocksthatmakerigorousinquirypossibleWhilethereisstillmuchworktobedonewearecommittedtoenablingallpeopletofullyparticipateinthelifeoftheUniversityToolsResourcesWeencourageallmembersofourcampuscommunitytocreateamorediverseandinclusiveenvironmentbyworkinglocallywithintheirrespectiveunitsHerearesometoolsandresourcesdesignedtohelpsupportyourworkDIStudioCollaboratewithateamthatcanhelpyouimproveexpandorbeginadiversityandinclusioninitiativeinyourunitDIPlanningToolkitDownloadthistoolkittohelpbuildacustomizeddiversityandinclusionplanforyourunitFacultySearchSupportVideosWatchavideoseriesthatdelvesintothesciencebehindthesearchprocessandprovidesinsightsonbestpracticesInclusivePedagogyWebsiteDiscoverhowtocreateamoreinclusiveclassroomenvironmentReflectionsonRaceAMultimediaResourceGuideReviewmaterialstohelpyoubetteraddressandunderstandcurrenteventsandhistorySearchTrainingExplorethreedifferenttrainingprogramsaimedatdiversifyingyourapplicantpoolAllToolsResourcesKeepinTouchTostayuptodateonwhatshappeningwithdiversityandinclusionandtolearnaboutupcomingeventsjoinourmailinglistEventsAllEventsLatestNewsClearingtheairUChicagoscholarscrossculturalresearchonhouseholdairpollutioncouldimprovethehealthofhalftheglobalpopulationChristopherSolaOlopadeidentifiedmultiplepotentialhealthrisksofexposuretohouseholdairpollutionalongwithpossiblesolutionsAnnouncingthewinneroftheinauguralPozenCenterPrizeforBestBAThesisonRaceandHumanRightsTheprizeawards1000tothebestBAessaysubmittedonanytopicattheintersectionofracestructuralracismandhumanrightsintheUnitedStatesorgloballyUpdatedDiversityInclusionPlanningToolkitThistoolkitwascreatedasaresourcetohelpleadersadvancediversityandinclusionintheirunitsAllNews,False
6,University of Pennsylvania,https://diversity.upenn.edu/diversity-at-penn,DiversityatPennDiversityCoronavirusCOVID19InformationandResourcesThediversityofouruniversitymustreflectthediversityoftheworldarounditandthediversityoftheworldthatwewantourstudentstoleadPresidentGutmannsStatementWeliveinagloriouslydiverseworldEnsuringthatourstudentsareexposedtothevibrancyrichnessandnuanceofdiverselifeexperiencesorientationsandperspectivesisfundamentaltotheeducationweprovideandoneofthedistinctivecharacteristicsofthePennexperienceAtPennwetakeprideinthemyriadwaysthatdiversityenrichesourcurriculumandtheculturalandsociallifeofourcampusPennscommitmenttoachievingeminencethroughdiversityisultimatelyacommitmenttocreatingamorevibrantuniversitysothatourgraduateswillbebothstimulatedandempoweredtoshapeabetterworldPoliciesPoliciesSupportingDiversityandInclusionReportsReportsonUniversityInclusionInitiativesFactsandFiguresPennbythenumbersStoriesofDiversityStoriesfromourdiversecommunityAboutPhiladelphiaPhiladelphiaisthenationssixthlargestmetropolitanareaAvibrantandaccessiblecityofneighborhoodsPhiladelphiaishometointernationallyrenownedmuseumsandgalleriesexceptionalconcertandtheatreperformancesworldclassdiningandshoppingandvastparksandlushgreenspacesWhetheritstoexplorethenationsfoundingatIndependenceHallandtheLibertyBellvisitthePhiladelphiaMuseumofArtbrowsethebustlingstallsofReadingTerminalMarketexperienceImpressionistmasterpiecesattheBarnesFoundationorcatchaPhilliesgameatCitizensBankParktheUnitedStatesveryfirstWorldHeritageCityhassomethingforeveryoneAdynamicarrayofcollegesanduniversitiesincludingPennthecityslargestprivateemployercallPhiladelphiahomeIdeallylocatedjustashorttrainridefromNewYorkCityandWashingtonDCPhiladelphiaisafavoritedestinationforvisitorsfromacrossthecountryandaroundtheworldVideoaboveItGetsBetterAMessageFromUniversityofPennsylvaniaPresidentAmyGutmannTRANSCRIPT,False
7,California Institute of Technology,https://breakthrough.caltech.edu/ways-to-give/supporting-inclusion-and-diversity/,SupportingInclusionandDiversityCaltechCampaignSkiptocontentSupportingInclusionandDiversitySupportingInclusionandDiversityInclusionanddiversityarefundamentaltoCaltechscommitmenttoscientificexcellenceScholarswithdiversetalentsbackgroundsandperspectivesbringfreshinsightsandinnovativeapproachesthathastensolutionstothemostdifficultscientificproblemsandsocietalchallengesInamessagetitledAMoreInclusiveCaltechPresidentThomasFRosenbaumandotheracademicleadersoutlinedaseriesofnewstepstomovetheInstituteforwardonthisfrontWeinviteyoutopartnerwithusinfosteringanenvironmentwherethebrightestmostcreativemindsfromeverysegmentofsocietyandeverycorneroftheglobecanachievetheirfullestacademicandprofessionalpotentialWithyourgifttoanyoftheopportunitiesdescribedbelowyoucansupportscientistsandengineerswhosediscoverieswillcreateabetterworldUndergraduatesGraduateStudentsFacultyProgramsandInitiativesUndergraduatesFreshmanSummerResearchInstituteCaltechsFreshmanSummerResearchInstituteFSRIisacomprehensivefiveweekprogramoforientationandacademicsupportforfirstyearstudentsfromunderrepresentedandorunderservedbackgroundsByintroducingstudentstoCaltechsrigorousmathcurriculumcultureandacademicandstudentsupportservicesFSRIeasesthetransitionfromhighschooltocollegeandbuildsastrongfoundationinresearchGiveNowFormoreinformationcontactNicoleWeaverGollerseniordirectorofdevelopmentScholarshipsforStudentsfromUnderrepresentedBackgroundsCaltechiscommittedtomakinganInstituteeducationaccessibletothemostpromisingstudentswhatevertheirculturaloreconomicbackgroundsAdmissionsdecisionsarebasedsolelyonapplicantsaccomplishmentsandabilitiesthroughaholisticprocessthatlooksbeyondformalacademicpreparationtoevaluatepotentialtosucceedCaltechalsoprovidesfinancialaidthatmeets100percentofstudentsdemonstratedneedScholarshipsforstudentsfromunderrepresentedbackgroundsareanotheressentialtooltoensurethatCaltechisthedestinationofchoicefortalentedhardworkingscholarswhoareuniforminexcellenceanddiverseinperspectiveGiveNowFormoreinformationcontactNicoleWeaverGollerseniordirectorofdevelopmentGraduateStudentsGraduateSummerResearchInstituteThenewGraduateSummerResearchInstitutewillbringrecentlyadmittedgraduatestudentstocampustohelpthemacclimatetoCaltechandbuildcommunitypriortothestartoftheirgraduatestudiesTheprogramismodeledaftertheFreshmanSummerResearchInstituteandwillbeoperatedinconjunctionwiththeCenterforInclusionDiversityGiveNowFormoreinformationcontactNicoleWeaverGollerseniordirectorofdevelopmentPresidentialGraduateFellowshipsAdiversecadreofgraduatestudentsenlivenstheacademiccommunityacceleratesresearchandinspiresfacultymentorsaswellasotherstudentstothinkabouttheirworkinnewwaysWiththegoalofincreasingdiversityacrosstheentireInstituteCaltechaimstocreateatleast10centrallyadministeredPresidentialGraduateFellowshipsThefellowshipswillincreaseCaltechscompetitiveedgeinrecruitinggraduatestudentsfromunderrepresentedbackgroundsandensurethatthesestudentscanfocusontheirresearcheducationandgoalsinsteadoftheirfundingGiveNowFormoreinformationcontactNicoleWeaverGollerseniordirectorofdevelopmentWAVEFellowsProgramTheWAVEFellowsprogramaimstoincreasetheparticipationofunderrepresentedstudentsinscienceandengineeringPhDstudiesandmakeCaltechmorevisibleandaccessibletostudentswhotraditionallyhavenotbeenexposedtotheInstituteWAVEfocusesonsophomoresjuniorsandnongraduatingseniorsfromotherinstitutionsofhighereducationwhointendtopursuegraduateschoolTheprogrambringsstudentstocampusfor10weeksofsummerresearchenhancedbyweeklyfacultyseminarsacademicandprofessionaldevelopmentworkshopsandsocialandculturalactivitiesGiveNowFormoreinformationcontactNicoleWeaverGollerseniordirectorofdevelopmentFacultyDiscretionaryFundforFacultyInclusionandDiversityTheDiscretionaryFundforFacultyInclusionandDiversitywillproviderecruitmentfundsforparticipationinminorityservingconferencesegtheAnnualBiomedicalResearchConferenceforMinorityStudentsandtheSocietyforAdvancementofChicanosHispanicsandNativeAmericansinSciencestipendstobringvisitingfacultytoCaltechandotherresourcestosupporttherecruitmentandretentionoffacultyfromunderrepresentedbackgroundsGiveNowFormoreinformationcontactNicoleWeaverGollerseniordirectorofdevelopmentPresidentialPostdoctoralFellowsProgramThenewPresidentialPostdoctoralFellowsprogramaimstoincreasethenumberofhistoricallyunderrepresentedminorityfacultyinSTEMfieldsatCaltechandothercollegesanduniversitiesacrosstheUnitedStatesTheprogramwillbuildonthesuccessoftheCaliforniaAllianceforGraduateEducationandtheProfessoriateapartnershipamongCaltechtheUniversityofCaliforniaBerkeleyleadtheUniversityofCaliforniaLosAngelesandStanfordUniversitytoensureadditionalpostdoctoralscholarsofcoloracrossthedivisionsFellowsreceivestipendsmentoringandservicesthatpromotecommunityandfosterprofessionaladvancementGiveNowFormoreinformationcontactNicoleWeaverGollerseniordirectorofdevelopmentProgramsandInitiativesCenterforInclusionDiversityTheCenterforInclusionDiversityisdedicatedtofosteringacommunityofequityandinclusiveexcellenceatCaltechThecenteroffersawiderangeofopportunitiestobuildculturalcompetenciesandskillspromotesandprovidesaccesstoeducationalresourcesthatadvanceacademicandpersonalgoalsofinclusionandhostsaffinityspacesandskillbuildingopportunitiesforallmembersoftheInstitutecommunitytoengagewithissuesrelatedtodiversityandindividualidentitiesGiveNowFormoreinformationcontactNicoleWeaverGollerseniordirectorofdevelopmentCenterforTeachingLearningandOutreachFoundedin2012theCenterforTeachingLearningandOutreachCTLOworkstobuildinclusiveandevidencebasedteachingpracticesatboththeundergraduateandthegraduatelevelsTheCTLOalsofacilitatesinterestinSTEMamongthebroadercommunitywithparticularfocusonschoolsthathaveahighproportionofminoritizedstudentsGiftstotheCTLOsupportthisvitalworkandenableCaltechtoexpandprogramsthatengagetheInstitutePasadenaandLosAngelescommunitiesinSTEMfromkindergartenthroughgraduateschoolandbeyondGiveNowFormoreinformationcontactNicoleWeaverGollerseniordirectorofdevelopmentDiversityOutreachFundThenewDiversityOutreachFundenablesCaltechtodevelopandtestinnovativeoutreachinitiativesaimedatincreasingawarenessandunderstandingofbasicscienceandengineeringprinciplesamongunderrepresentedstudentsatlocalprekelementarymiddleandhighschoolsThefundismanagedbythePresidentsDiversityCouncilincoordinationwiththeCenterforTeachingLearningandOutreachGiveNowFormoreinformationcontactNicoleWeaverGollerseniordirectorofdevelopmentDivisionbasedInclusionandDiversityFundsEachofCaltechssixacademicdivisionsBiologyandBiologicalEngineeringChemistryandChemicalEngineeringEngineeringandAppliedScienceGeologicalandPlanetarySciencesHumanitiesandSocialSciencesandPhysicsMathematicsandAstronomyisfullycommittedtodiversityequityandinclusionDivisionbasedfundsprovideessentialresourcesthatdivisionchairscanusetocreatescholarshipsorfellowshipsforminoritizedstudentssupporttherecruitmentoffacultyfromunderrepresentedbackgroundsinvitediversevisitingfacultyandotherspeakerstopresenttothecampuscommunityandimplementotherinitiativesthatfosteradiverseandinclusiveacademicenvironmentGiveNowFormoreinformationcontactBettieWoodsexecutivedirectorofdevelopment,False
8,Johns Hopkins University,https://diversity.jhu.edu/our-commitment/,OurCommitmentDiversityatJHUOurCommitmentOurvisionfordiversityatJohnsHopkinsisforourcommunitytoreflectthebroadarrayofhumandifferencesfoundinoursocietyatlargeThisdiversityadvancestheuniversitysfundamentalroleincultivatingstudentscapacityforlearningfromclassesclassmatesandcolleaguesfuelsbolddiscoveryandservesasadistinguishingfactorinoursuccessTheachievementofthisidealwilldependonourabilitytocreateandnourishanenvironmentandculturewherepeoplefromallbackgroundsfeelvaluedengagedandempoweredtosucceedWeapproachthechallengeofmeaningfulchangenotasasingleinitiativeormomentintimeRatherthismustbeasustainedeffortacrossthefullrangeofourstrategicprioritiesundertakenwiththecompletesupportofouruniversityleadershipincludingourdeanscabinetandboardoftrusteesandcommunicatedwithinourcommunityinamannerthatreflectstheethosandaspirationofthisendeavorToguidethiseffortandholdourselvesaccountableforourcommitmentsandprogressJohnsHopkinsembarkedontheJHURoadmaponDiversityandInclusionafiveyeardiversityandinclusionstrategicplanin2016ItsprioritiesstrategiesandreportingrequirementsincludingapublishedannualprogressreportandfacultystaffandgraduatestudentcompositionreportshaveservedaskeyaccountabilitymechanismsensuringthattheuniversitysattentiontotheimportantissuesatitscoreissubjecttosustainedfocusandvigilantmonitoringbytheuniversitysleadershipandtrusteesConsistentwithourdeterminationforthiscommitmenttobeeverevolvingandadvancinginsummer2020JHUformedtheRoadmap2020TaskForcechargedwithreassessingthegoalsandprioritiesintheRoadmapandrenewingourdedicationtothevaluesofdiversityequityandinclusionInthismomentofnationalreckoningwithsystemicracismandracialinjusticeweareworkingtoconfrontdisparitiesembracenewideasandopportunitiesandrecommitourcommunitytodeepeningandexpandingourDEIeffortsatHopkinsAswemoveintothenextphaseofourRoadmaponDiversityandInclusionwewillcontinuetobeguidedbythetransparencyandaccountabilitythatwehavededicatedtoinourpastdiversityequityandinclusioneffortsTheeffortstosustainadiverseandinclusivecommunityatJohnsHopkinsdependoneachofushowwehandleeverydayinteractionsoncampushowweteachorlearnasourownideasaretestedhowwelistentoeachotherEachofusmustplayourpartinaddressingneedsanddisparitiesonourcampuseswithinourcityandbeyond,False
9,Northwestern University,https://www.northwestern.edu/diversity/about/mission-and-vision/index.html,MissionandVisionInstitutionalDiversityInclusionNorthwesternUniversityHomeAboutMissionandVisionMissionandVisionTheOfficeofInstitutionalDiversityandInclusionwasestablishedin2015andissituatedwithintheOfficeoftheProvostVisionTorealizeanidealNorthwesternUniversitywherecommunitymembersarechallengedtoengagedifferencesasstrengthsinanenvironmentthatensuresequalityofaccessopportunityrepresentationandparticipationMissionTohelpcreateandsustainadiverseinclusiveandwelcomingenvironmentforallNorthwesterncommunitymembersincludingstudentsfacultystaffandalumniClickheretoreadtheLeadershipCommitmentstatementfromPresidentMortonOSchapiro,False
